[2026-06-26 20:17:48] | ZZZZZ_Y00_X00 | fire_mushroom | 大火蘑菇 | -18.0184490, -70.2315500
[2026-06-26 20:51:56] | P03_Peru_Piura_Y01_X09 | electric_mushroom | 般神秘蘑菇 | -5.1611050, -80.6306280
[2026-06-26 20:52:31] | P03_Peru_Piura_Y01_X05 | electric_mushroom | 般黃色蘑菇 | -5.1633960, -80.6497260
[2026-06-26 20:53:07] | P03_Peru_Piura_Y01_X01 | electric_mushroom | 般神秘蘑菇 | -5.1615850, -80.6710040
[2026-06-26 20:53:48] | P03_Peru_Piura_Y02_X03 | electric_mushroom | 般神秘蘑菇 | -5.1745230, -80.6621090
[2026-06-26 20:54:07] | P03_Peru_Piura_Y02_X04 | electric_mushroom | 般神秘蘑菇 | -5.1740680, -80.6551040
[2026-06-26 20:55:18] | P03_Peru_Piura_Y02_X14 | electric_mushroom | 般神秘蘑菇 | -5.1744340, -80.6059660
[2026-06-26 20:56:45] | P03_Peru_Piura_Y03_X04 | electric_mushroom | 般電蘑菇 | -5.1838820, -80.6550740
[2026-06-26 20:57:04] | P03_Peru_Piura_Y03_X03 | poison_mushroom | 般水晶蘑菇 | -5.1807990, -80.6635100
[2026-06-26 20:58:58] | P03_Peru_Piura_Y04_X13 | poison_mushroom | 般水晶蘑菇 | -5.1946250, -80.6090740
[2026-06-26 21:00:06] | P03_Peru_Piura_Y05_X08 | electric_mushroom | 般神秘蘑菇 | -5.2066090, -80.6339860
[2026-06-26 21:03:02] | P04_Peru_Sechura_Y01_X02 | electric_mushroom | 般黃色蘑菇 | -5.5641980, -80.8161600
[2026-06-26 21:06:46] | P05_Peru_Trujillo_Y00_X14 | fire_mushroom | 大火蘑菇 | -8.0463180, -79.0075980
[2026-06-26 21:07:45] | P05_Peru_Trujillo_Y01_X13 | electric_mushroom | 般神秘蘑菇 | -8.0463180, -79.0075980
[2026-06-26 21:10:30] | P05_Peru_Trujillo_Y02_X14 | electric_mushroom | 般神秘蘑菇 | -8.0745060, -79.0069820
[2026-06-26 21:11:25] | P05_Peru_Trujillo_Y03_X14 | electric_mushroom | 般黃色蘑菇 | -8.0815280, -79.0038620
[2026-06-26 21:14:06] | P05_Peru_Trujillo_Y04_X11 | electric_mushroom | 般神秘蘑菇 | -8.0944580, -79.0197600
[2026-06-26 21:15:50] | P05_Peru_Trujillo_Y05_X08 | electric_mushroom | 般神秘蘑菇 | -8.1057810, -79.0377970
[2026-06-26 21:17:31] | P05_Peru_Trujillo_Y06_X07 | electric_mushroom | 般神秘蘑菇 | -8.1167940, -79.0365570
[2026-06-26 21:18:02] | P05_Peru_Trujillo_Y06_X10 | water_mushroom | 大水晶蘑菇 | -8.1168490, -79.0249760
[2026-06-26 21:20:51] | P05_Peru_Trujillo_Y08_X02 | electric_mushroom | 般神秘蘑菇 | -8.1392960, -79.0611950
[2026-06-26 21:21:27] | P05_Peru_Trujillo_Y08_X06 | electric_mushroom | 般神秘蘑菇 | -8.1379950, -79.0438780
[2026-06-26 21:27:10] | P06_Peru_Chiclayo_Y01_X11 | electric_mushroom | 般神秘蘑菇 | -6.7518950, -79.8219320
[2026-06-26 21:27:40] | P06_Peru_Chiclayo_Y01_X08 | electric_mushroom | 般黃色蘑菇 | -6.7557440, -79.8369090
[2026-06-26 21:28:16] | P06_Peru_Chiclayo_Y01_X04 | electric_mushroom | 般神秘蘑菇 | -6.7565830, -79.8596370
[2026-06-26 21:28:35] | P06_Peru_Chiclayo_Y01_X03 | electric_mushroom | 般黃色蘑菇 | -6.7557620, -79.8637120
[2026-06-26 21:29:38] | P06_Peru_Chiclayo_Y02_X05 | electric_mushroom | 般神秘蘑菇 | -6.7617790, -79.8525180
[2026-06-26 21:31:20] | P06_Peru_Chiclayo_Y03_X06 | electric_mushroom | 般神秘蘑菇 | -6.7769590, -79.8469210
[2026-06-26 21:32:36] | P06_Peru_Chiclayo_Y04_X04 | electric_mushroom | 般神秘蘑菇 | -6.7884810, -79.8587700
[2026-06-26 21:33:07] | P06_Peru_Chiclayo_Y04_X07 | electric_mushroom | 般神秘蘑菇 | -6.7872510, -79.8424490
[2026-06-26 21:35:05] | P06_Peru_Chiclayo_Y05_X01 | electric_mushroom | 般神秘蘑菇 | -6.7958230, -79.8721630
